No.;Time;Source;Destination;Protocol;Length;Info;;;;;;time 2;time 1;delay;delay 2; delay 1;jitter
12;0.088014;192.168.100.6;13.52.28.67;TLSv1.2;122;Application Data;;;;;;0.146953;0.088014;0.058939;0.000106;0.058833;-0.058727
22;0.146953;192.168.100.6;13.52.28.67;TLSv1.2;536;Application Data;;;;;;0.147059;0.146953;0.000106;0.193395;-0.193289;0.386684
23;0.147059;192.168.100.6;13.52.28.67;TLSv1.2;216;Application Data;;;;;;0.340454;0.147059;0.193395;0.007939;0.185456;-0.177517
60;0.340454;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=1 Ack=69 Win=16 Len=0;;;;;;0.348393;0.340454;0.007939;0.010687;-0.002748;0.013435
65;0.348393;13.52.28.67;192.168.100.6;TLSv1.2;126;Application Data;;;;;;0.35908;0.348393;0.010687;0.040423;-0.029736;0.070159
66;0.35908;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;0.399503;0.35908;0.040423;0.017412;0.023011;-0.005599
74;0.399503;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=73 Ack=713 Win=16 Len=0;;;;;;0.416915;0.399503;0.017412;0.02347;-0.006058;0.029528
79;0.416915;13.52.28.67;192.168.100.6;TLSv1.2;92;Application Data;;;;;;0.440385;0.416915;0.02347;9.4E-05;0.023376;-0.023282
83;0.440385;13.52.28.67;192.168.100.6;TLSv1.2;138;Application Data;;;;;;0.440479;0.440385;9.4E-05;0.010003;-0.009909;0.019912
84;0.440479;192.168.100.6;13.52.28.67;TCP;54;49185  >  443 [ACK] Seq=751 Ack=195 Win=507 Len=0;;;;;;0.450482;0.440479;0.010003;0.200437;-0.190434;0.390871
85;0.450482;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;0.650919;0.450482;0.200437;0.051307;0.14913;-0.097823
122;0.650919;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=195 Ack=751 Win=16 Len=0;;;;;;0.702226;0.650919;0.051307;0.37998;-0.328673;0.708653
130;0.702226;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=195 Ack=789 Win=16 Len=0;;;;;;1.082.206;0.702226;0.37998;0.010235;0.369745;-0.35951
205;1.082.206;13.52.28.67;192.168.100.6;TLSv1.2;110;Application Data;;;;;;1.092.441;1.082.206;0.010235;0.014906;-0.004671;0.019577
206;1.092.441;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;1.107.347;1.092.441;0.014906;0;0.014906;-0.014906
212;1.107.347;13.52.28.67;192.168.100.6;TLSv1.2;123;Application Data;;;;;;1.107.347;1.107.347;0;4.4E-05;-4.4E-05;8.8E-05
213;1.107.347;13.52.28.67;192.168.100.6;TLSv1.2;119;Application Data;;;;;;1.107.391;1.107.347;4.4E-05;0.039956;-0.039912;0.079868
214;1.107.391;192.168.100.6;13.52.28.67;TCP;54;49185  >  443 [ACK] Seq=827 Ack=385 Win=512 Len=0;;;;;;1.147.347;1.107.391;0.039956;0.197033;-0.157077;0.35411
222;1.147.347;192.168.100.6;13.52.28.67;TLSv1.2;92;Application Data;;;;;;134.438;1.147.347;0.197033;0.062471;0.134562;-0.072091
267;134.438;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=385 Ack=827 Win=16 Len=0;;;;;;1.406.851;134.438;0.062471;0.221388;-0.158917;0.380305
283;1.406.851;13.52.28.67;192.168.100.6;TCP;56;443  >  49185 [ACK] Seq=385 Ack=865 Win=16 Len=0;;;;;;1.628.239;1.406.851;0.221388;0.014174;0.207214;-0.19304
